Session started: 11/15/2025 1:34:19 PM
WaveFormat: 44100Hz, 32bit, 2ch
Set provider 0: active
Set provider 1: active
Read 1: samples=1536, pre-sum max=0.000, post-sum max=0.000, post-clamp max=0.000
Read 101: samples=1536, pre-sum max=0.626, post-sum max=1.615, post-clamp max=1.000
Read 201: samples=1536, pre-sum max=0.960, post-sum max=1.698, post-clamp max=1.000
Read 301: samples=1536, pre-sum max=0.267, post-sum max=1.216, post-clamp max=1.000
Read 401: samples=1536, pre-sum max=0.782, post-sum max=1.663, post-clamp max=1.000
Read 501: samples=1536, pre-sum max=0.018, post-sum max=1.008, post-clamp max=1.000
Read 601: samples=1536, pre-sum max=0.539, post-sum max=1.049, post-clamp max=1.000
Read 701: samples=1536, pre-sum max=0.931, post-sum max=1.930, post-clamp max=1.000
Read 801: samples=1536, pre-sum max=0.592, post-sum max=1.482, post-clamp max=1.000
