Session started: 11/15/2025 2:06:44 PM
WaveFormat: 44100Hz, 32bit, 2ch
Set provider 0: active
Set provider 1: active
Read 1: samples=1024, pre-sum max=0.000, post-sum max=0.000, post-clamp max=0.000
Read 101: samples=1024, pre-sum max=0.841, post-sum max=1.709, post-clamp max=1.000
Read 201: samples=1024, pre-sum max=0.298, post-sum max=1.030, post-clamp max=1.000
Read 301: samples=1024, pre-sum max=0.960, post-sum max=1.767, post-clamp max=1.000
Read 401: samples=1024, pre-sum max=0.629, post-sum max=0.974, post-clamp max=0.974
Read 501: samples=1024, pre-sum max=0.008, post-sum max=0.997, post-clamp max=0.997
Read 601: samples=1024, pre-sum max=0.782, post-sum max=1.782, post-clamp max=1.000
Read 701: samples=1024, pre-sum max=0.288, post-sum max=1.037, post-clamp max=1.000
Read 801: samples=1024, pre-sum max=0.266, post-sum max=1.000, post-clamp max=1.000
